a,b,mean_diff,ci_lo,ci_hi,p_raw,p_bonf,sig_005
NoControl,Proportional,0.008661499999999975,-0.003787000000000038,0.022072499999999984,0.31728535403608416,1.0,no
NoControl,MPC,0.017926499999999984,0.010098999999999974,0.02575399999999999,0.01531449909118811,0.09188699454712866,no
NoControl,PPO,0.008676499999999998,-0.010124500000000003,0.028792500000000006,0.49553077807397344,1.0,no
Proportional,MPC,0.00926500000000001,0.0036815000000000086,0.01484850000000001,0.04572152623901835,0.2743291574341101,no
Proportional,PPO,1.5000000000024715e-05,-0.010099999999999967,0.01204800000000002,0.9981959595192308,1.0,no
MPC,PPO,-0.009249999999999984,-0.021538999999999982,0.006061000000000007,0.3174855357990856,1.0,no
