S,seed,controller,rmse_mean,effort_mean,mae_mean,uniform_mean,ece
4,0,NoControl,3.6704753956347878,0.5,0.5834362675908311,0.4848668664174489,0.10812499999999999
4,0,Proportional,3.6227828004126246,0.9998654499333973,0.6912711831994524,0.5376293369382961,0.06458749999999999
4,0,MPC,3.6380528422199983,0.7972209869412765,0.579682054413485,0.5133657399561872,0.09912749999999997
4,1,NoControl,3.68662762004487,0.5,0.7105583529819706,0.5841108782129854,0.23242
4,1,Proportional,3.6454204260694936,1.0,0.7932969088939132,0.6320932473929725,0.1247225
4,1,MPC,3.6581219579300925,0.7999999999999997,0.6868651900912367,0.6090117746638809,0.2225825
4,2,NoControl,3.6493215621911697,0.5,0.8682183617939446,0.7133514918890889,0.27555999999999997
4,2,Proportional,3.613965135865952,1.0,0.9530183026684036,0.7556159926664132,0.19527250000000002
4,2,MPC,3.624477705260268,0.7983068753165979,0.8312547646528404,0.7345839992803268,0.25758499999999995
4,3,NoControl,3.6620513589442965,0.5,0.4604843571224177,0.3835208459249225,0.15069249999999998
4,3,Proportional,3.6061945984834485,1.0,0.5514912753754682,0.43947110027709463,0.0500675
4,3,MPC,3.6249385136202803,0.8,0.4590709733639862,0.41371604857244365,0.12759500000000001
4,4,NoControl,3.5846579548373296,0.5,0.49608325210901205,0.4074113536663198,0.10119000000000003
4,4,Proportional,3.531997010382268,1.0,0.5830903610485934,0.4609229681909759,0.03842499999999999
4,4,MPC,3.549319672749063,0.8,0.4985069387005915,0.43661273802528255,0.08085749999999998
8,0,NoControl,3.661096251893941,0.5,0.565079933052591,0.4891190848509367,0.032429999999999994
8,0,Proportional,3.613789313786252,1.0,0.6758005481194528,0.5408537353888362,0.026722500000000017
8,0,MPC,3.6287996773947957,0.8,0.6119550617244975,0.5194166599516393,0.013972499999999999
8,1,NoControl,3.6480697033001923,0.5,0.6293635462269817,0.5810083412136938,0.044735
8,1,Proportional,3.6069477435844544,1.0,0.7498461954043223,0.6286166565757066,0.04830750000000002
8,1,MPC,3.6195882197205083,0.8,0.6761932596965291,0.6090631595302286,0.03366500000000002
8,2,NoControl,3.652075610868403,0.5,0.780967133096772,0.7145032204767314,0.07620249999999999
8,2,Proportional,3.617055504391674,1.0,0.905920692741106,0.7557354642234212,0.04988500000000001
8,2,MPC,3.6274398293059265,0.7998896413456564,0.8223397347597475,0.7389571542396222,0.04800000000000001
8,3,NoControl,3.5714450609302286,0.5,0.43474956760263306,0.38132399329594013,0.04877749999999997
8,3,Proportional,3.517045758895448,1.0,0.5394715194924646,0.43525889529352346,0.02245250000000002
8,3,MPC,3.53559132179457,0.8,0.48219046384192893,0.41217212288223126,0.019989999999999987
8,4,NoControl,3.5811224452660118,0.5,0.4600472527161708,0.403351017458847,0.02163249999999999
8,4,Proportional,3.5278183544717376,1.0,0.5607548359950046,0.45824064153298927,0.03166750000000002
8,4,MPC,3.545528169577192,0.7999356375969425,0.5026831150646014,0.4349368373451699,0.015369999999999995
16,0,NoControl,3.7714157799894816,0.5,0.5820561315670205,0.47580912443820994,0.03631250000000001
16,0,Proportional,3.722084739979782,1.0,0.7522299919508442,0.5327934717083043,0.05636000000000001
16,0,MPC,3.7390356178593835,0.7951118280318871,0.6895773495319785,0.5097950892831958,0.05147999999999999
16,1,NoControl,3.685373171418346,0.5,0.6732260612300897,0.5840004539745701,0.15195999999999998
16,1,Proportional,3.6439350236507955,1.0,0.8394955168985964,0.6322757409463011,0.11764250000000001
16,1,MPC,3.6584099182833953,0.777140392352762,0.7747897002491066,0.6118595406899923,0.12796249999999998
16,2,NoControl,3.6488733408363525,0.5,0.8342105764198519,0.7137245306136127,0.16986249999999997
16,2,Proportional,3.613828656748765,1.0,0.9882365420929012,0.7552463929346169,0.1304625
16,2,MPC,3.6270970023385654,0.7465952994497266,0.9202305514794347,0.7365408147175923,0.14453749999999999
16,3,NoControl,3.607226983738049,0.5,0.4607754713418777,0.3865109104376291,0.1157925
16,3,Proportional,3.5519372520492176,1.0,0.61116938115874,0.4417408632255746,0.1144975
16,3,MPC,3.5716276219109635,0.7993279746473166,0.5511497349844181,0.4183948529917074,0.11566749999999999
16,4,NoControl,3.579457354338599,0.5,0.49875979622593647,0.404585475765654,0.04150250000000001
16,4,Proportional,3.5269830259747645,1.0,0.6365902974432264,0.4574203880067848,0.058082500000000016
16,4,MPC,3.5456073200053257,0.799241038875972,0.5839465560124742,0.43538492833185366,0.05476500000000002
